Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
AGRICOLA MAS CASADELLA SCP,VP/P/2430/2016,X,,J17781675,Finca MAS CASADELLA 4,17180,VILABLAREIX,GIRONÈS,"BLAT DE MORO, ORDI, PATATA, MELÓ, ENCIAM, CARBASSÓ, TOMÀQUET, MONGETA","CEREALS D'ESTIU, CEREALS, HORTÍCOLES, LLEGUMINOSES, NO ADMISSIBLES",Venda directa,,663052925,narcis1979@gmail.com,ACTUS
"AGRICOLA MASO PETIT, S.L.",VP/P/1608/2014,X,,B17429689,Zona MAS MASO PETIT,17834,CAMÓS,PLA DE L'ESTANY,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI, CIVADA, TRITICALE, TOMÀQUET","CEREALS, HORTÍCOLES, NO ADMISSIBLES, OLEAGINOSES",,Venda circuit curt,638581853,masopetit@hotmail.com,CAL PINELA
AGRICOLA RAMADERA VINFARO SL,VP/P/0550/2013,X,,B65385957,Carre Lecco 7,8700,IGUALADA,ANOIA,"BLAT TOU, ORDI, OLIVES, AMETLLES, HORTA, PÈSOLS","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, PROTEAGINOSES",Venda directa,,639172996,jordiduenas@hotmail.com,
"AGRICOLA SIURANA, SC",VP/P/0454/2013,X,,J17878026,C/ MAS BORDAS,17469,SIURANA,ALT EMPORDÀ,"Olis, OLIVERES",OLIVERAR,Venda directa,,609692170,agricolasiurana@gmail.com,
"AGRICOLA SUMOL, SL",VP/P/0542/2013,X,,B61308912,C Caponata 13,8034,BARCELONA,BARCELONÈS,NOUS,FRUITS DE CLOSCA,Venda directa,Venda circuit curt,649891913,sumol@agricolasumol.com,
AGRICOLA TERRICABRAS COLOM SL,VP/P/3329/2019,X,,B65900375,C/ Jacint Verdaguer 19,8503,GURB,OSONA,"BLAT DE MORO, ORDI, PATATA, HORTA","CEREALS D'ESTIU, CEREALS, HORTÍCOLES, NO ADMISSIBLES",,Venda circuit curt,606877466,terricabrascolom@gmail.com,
"AGRICOLA TUPINAIRE, SL",VP/P/1448/2014,X,,B25697822,Av Jaume Nadal 19,25125,ALGUAIRE,SEGRIÀ,"PERES, FIGUES",FRUITA DOLÇA,Venda directa,Venda circuit curt,615066170,calpinela@pinelaecologic.cat,
"AGRICOLA XIM-XIM, SCP",VP/P/2188/2016,X,,J63683205,C Muntanya 32,8840,VILADECANS,BAIX LLOBREGAT,"ENCIAMS, Carxofa, CARABASSA, TOMÀQUET, FAVES I FAVONS","HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,629047781,mauri.bosch@yahoo.es,
"AGRÍCOLES JOVELL, SCP",VP/AP/0129/2019,X,,J25684937,C/ Urgell,25331,TORNABOUS,URGELL,"POMES, PERES",FRUITA DOLÇA,Venda directa,Venda circuit curt,627272059,laiafuli@yahoo.es,VEDELLA MASSOT
"AGRICULTURA BIOLOGICA GINER DALMAU, SCP",VP/P/0591/2013,X,,J17992504,Carre Almogavers 9,17486,CASTELLÓ D'EMPÚRIES,ALT EMPORDÀ,"BLAT DE MORO, CIVADA","CEREALS D'ESTIU, CEREALS",Venda directa,,635596939,ginerdalmau@hotmail.com,
AGRICULTURA ECOLOGICA ELS 3 CARGOLS S.L.,VP/P/2476/2016,X,,B55597140,Pl TERESA MIQUEL I PAMIES,43203,REUS,BAIX CAMP,"Altres productes elaborats, OLIVES, RAÏM VI, GARROFES, MELÓ, ENCIAMS, SÍNDRIA, Carxofa, TOMÀQUET, MONGETA","FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR, VINYA",Venda directa,,630820780,elstrescargols@gmail.com,ALBIUM
"AGRO CAN GENOVER, SL",VP/P/2054/2016,X,,B17984337,"Calle VEINAT DE COQUELLS, 0",17743,VILANANT,ALT EMPORDÀ,"Carn, embotits i derivats carnis de pollastres/gallina, Ous de gallina, Olis, Mel, Carn, embotits i derivats carnis de boví, OLIVES, HORTA","HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,609030468,eco@cangenover.com,AGRO-ANDI
"AGRO DURAN, SL",VP/P/2421/2016,X,,B55266555,C/ DELS HORTS 1,17200,PALAFRUGELL,BAIX EMPORDÀ,"Olis, BLAT TOU, ORDI, CIVADA, FAJOL, PATATA, OLIVES, RAÏM VI, GARROFES, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, Carxofa, PASTANAGA, TOMÀQUET, CIGRONS , PÈSOLS, MONGETA , FAVES I FAVONS","CEREALS D'ESTIU, CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR, PROTEAGINOSES, VINYA",Venda directa,,678604196,duranllofriu@yahoo.es,FLODECAM
"AGRO MASOT, SA",VP/P/0497/2013,X,,A25200866,"C AFORES, SN",25131,TORRE-SERONA,SEGRIÀ,"Carn, embotits i derivats carnis de boví, BLAT DE MORO, ORDI, PERES, POMES","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, NO ADMISSIBLES",Venda directa,Venda circuit curt,635556658,jcmassot@gmail.com,
"AGRO-90, SL",VP/P/0538/2013,X,,B59076802,Pas Passatge Jorba,8182,SANT FELIU DE CODINES,VALLÈS ORIENTAL,HORTA,HORTÍCOLES,Venda directa,,938662229,jordi@agro90.com,
"AGROALBIUM, SL",VP/P/3101/2019,X,,B25806332,Avgda Catalunya 21,25450,ALBI,LES GARRIGUES,"Olis, BLAT TOU, ORDI, OLIVES, AMETLLES","CEREALS, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,659930032,agroalbium@gmail.com,
AGRO-ANDI,VP/P/0169/2013,X,,V58873100,C M D Sales 1,8840,VILADECANS,BAIX LLOBREGAT,"CEBES, CALÇOTS, PORROS I ALLS, API, COL I COLIFLOR, CARXOFA, COGOMBRE, TOMÀQUET","HORTÍCOLES, NO ADMISSIBLES",Venda directa,Venda circuit curt,635422964,agroandisat@gmail.com,
"AGRO-CAPDEVILA, SL",VP/P/0165/2013,X,,B43104389,CTRA. SALOU - MAS MATA,43206,REUS,BAIX CAMP,ENCIAMS,HORTÍCOLES,Venda directa,Venda circuit curt,630832899,agrocapdevila@flodecamp.com,
"AGROCARBONELL, SC",VP/P/2940/2018,X,,J55035166,Finca Finca CAN CARBONELL S/N,17527,LLÍVIA,CERDANYA,"Carn, embotits i derivats carnis de boví, BLAT TOU, TRITICALE, PATATA, PÈSOLS","CEREALS, HORTÍCOLES, PROTEAGINOSES",Venda directa,Venda circuit curt,606987800,gorgujaeco@gmail.com,AGROLI
"AGROCRUELLS, SCP",VP/P/1530/2014,X,,J66026816,C/ Farigola 29,8591,AIGUAFREDA,VALLÈS ORIENTAL,"Carn, embotits i derivats carnis de boví, HORTA",HORTÍCOLES,Venda directa,,619149369,draude007@yahoo.com,
AGROECOLOGICA DE LA SELVA SCCL,VP/AP/0022/2013,X,,F55134902,CARRETERA DE SANTA COLOMA 12 PIS 1 PORTA,17421,RIUDARENES,LA SELVA,"Conserves vegetals, sucs, melmelades, Carn, embotits i derivats carnis de boví, Olis, Vins, caves i vinagres, Carn, embotits i derivats carnis de porcí, Carn, embotits i derivats carnis de xai",,Venda directa,Venda circuit curt,972164957,info@fundacioemys.com,
AGROFERT DELTA SL,VP/P/2914/2018,X,,B43935485,Calle LLIGALLO DE SOLE S/N,43870,AMPOSTA,MONTSIÀ,"TRITICALE, OLIVES, SATSUMA, TARONGES, MANDARINES","CEREALS, CÍTRICS, OLIVERAR",Venda directa,,670699081,jaume@agrodelta.es,HORTA VILADORDIS
"AGROFRESC GRANGES, SL",VP/P/0549/2013,X,,B64642390,FINCA TORRE D'EN ROCA 0,8650,RUBÍ,BAGES,"Formatges i altres derivats lactis de llet de vaca, Llet de vaca, BLAT DE MORO, CIVADA, ALTRES FRUITERS DE LLAVOR","BLAT DE MORO, CEREALS, FRUITA DOLÇA",Venda directa,Venda circuit curt,600339955,jm@torredenroca.com,
"AGROLIVARIUM PENINSULAR, SL",VP/P/2183/2016,X,,B64995947,C/ Palauet 3,17495,PALAU-SAVERDERA,ALT EMPORDÀ,"Olis, OLIVES, AMETLLES","FRUITS DE CLOSCA, OLIVERAR",,Venda circuit curt,618921950,roigeste@gmail.com,
"AGROMIGJORN, SL",VP/P/1879/2015,X,,B62716816,Lloc Granja Migjorn,8670,NAVÀS,BAGES,"Olis, OLIVES",OLIVERAR,Venda directa,Venda circuit curt,938691992,calidad@semencardona.com,
"AGROPAC, SCP",VP/P/0463/2013,X,,J25684804,C POU 28,25163,SOLERAS,LES GARRIGUES,"Olis, OLIVERES",OLIVERAR,Venda directa,,690351717,oscarjovv@hotmail.com,
"AGROPECUARIA CASASAYAS, SCP",VP/P/0483/2013,X,,J60718525,"Ctra De l'abocador, Les Arnaules",8240,MANRESA,BAGES,"ORDI, CIVADA, AMETLLES, PRESSECS, POMES, CIRERES, PEBROT, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, ALBERGÍNIA, CARBASSÓ, Carxofa, BLEDA, ESPINAC, TOMÀQUET, ESPÀRRECS, PÈSOLS, MONGETA , FAVES I FAVONS","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, PROTEAGINOSES",Venda directa,Venda circuit curt,639223638,agrolesarnaules@gmail.com,XTAXTO
"AGROPECUARIA COPERAL, SCCL",VP/AP/0119/2018,X,,F43010727,Ctra D'igualada 94,43420,SANTA COLOMA DE QUERALT,CONCA DE BARBERÀ,"ORDI, BLAT TOU",CEREALS,Venda directa,Venda circuit curt,977880703,antonieta@coperal.com,
AGROPECUARIA FARRE SLU,VP/P/3280/2019,X,,B25823519,C/ CARME 27,25335,PENELLES,LA NOGUERA,"BLAT DE MORO, ORDI, PERES","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA",Venda directa,Venda circuit curt,620212798,laiagar@hotmail.com,
"AGROPECUARIA FEIXA, CB",VP/P/0558/2013,X,,E25362831,C/ Sant isidre 19,25154,CASTELLDANS,LES GARRIGUES,"Carn, embotits i derivats carnis de xai, BLAT DE MORO, ORDI, CIVADA, TRITICALE, AMETLLES, PÈSOLS","CEREALS D'ESTIU, CEREALS, FRUITS DE CLOSCA, NO ADMISSIBLES, PROTEAGINOSES",Venda directa,,686453160,marcfeixa@movistar.es,
"AGROPECUARIA MAS BES, SL",VP/P/1659/2014,X,,B17625039,"Lloc CAN BES,BÚSTIA NÚM 3",17184,VILOBÍ D'ONYAR,LA SELVA,"Llet de vaca, Formatges i altres derivats lactis de llet de vaca, Carn, embotits i derivats carnis de boví, BLAT TOU, BLAT DE MORO, ORDI, CIVADA","CEREALS D'ESTIU, CEREALS, OLEAGINOSES",Venda directa,Venda circuit curt,660290678,joan.masbes@gmail.com,
AGROPECUARIA PUY SL,VP/P/2077/2016,X,,B25294364,C/ President Companys 6,25650,ISONA I CONCA DELLÀ,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de xai, ORDI, SÈGOL, OLIVES","CEREALS, OLIVERAR",Venda directa,,689067285,NO EN DISPOSO,ACOMONT
"AGROPECUARIA VIGATA, SC",VP/P/1491/2014,X,,J25409186,Carre Sant Antoni 38,25141,TORREGROSSA,PLA D'URGELL,"BLAT DE MORO, ESPINAC","CEREALS D'ESTIU, HORTÍCOLES",Venda directa,,647553634,james_v007@hotmail.es,
AGRORAMADERIA CAL PIQUET SCP,VP/P/0602/2013,X,,J25759382,"C Casa Piquet,",25287,PINÓS,SOLSONÈS,"Carn, embotits i derivats carnis de xai, BLAT TOU, ORDI, CIVADA, PATATA, OLIVES","CEREALS, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,616965502,joan.piquet@gmail.com,AITONA GOURMET
AGRO-SORIGUE SAU,VP/P/2917/2018,X,,A50128602,Avgda Alcalde Pujol 4,25006,LLEIDA,SEGRIÀ,"BLAT DE MORO, ORDI, PATATA, OLIVES, AMETLLES, PRESSECS, NECTARINES, ALBERCOCS, PERES, POMES, CIRERES, CEBA, CALÇOT, PORRO I ALL, FIGUES, CONREU DE FRUITS DEL BOSC, FAVES I FAVONS","ALTRES PRODUCTES, CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES",,Venda circuit curt,973706101,j.garciagarcia@sorigue.com,
"AGROVIURE, SL",VP/P/0505/2013,X,,B63409213,Finca Can Viure 0,8520,FRANQUESES DEL VALLÈS,VALLÈS ORIENTAL,"BLAT TOU, ORDI",CEREALS,,Venda circuit curt,938494798,agroviure@hotmail.com,
AGRUPACIO DE COOPERATIVES D'OLI MONTSIA,VP/AP/0058/2014,X,,F43291582,C/ Major 179,43550,ULLDECONA,MONTSIÀ,Olis,,Venda directa,Venda circuit curt,977720456,roser@acomont.com,
"AGUADE RAFI, ABEL",VP/P/0778/2013,,X,,,43886,VILABELLA,ALT CAMP,"Vins, caves i vinagres, Olis, OLIVES, RAÏM, GARROFES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,
"AGUILAR RODRIGUEZ, JORDI",VP/P/0723/2013,,X,,,8360,CANET DE MAR,MARESME,ALTRES FRUITERS DE LLAVOR,FRUITA DOLÇA,Venda directa,,,,GRANJA ALGUERO
"AGUILAR SANCHEZ, FRANCISCO",VP/P/1138/2013,,X,,,8699,SALDES,BERGUEDÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,,,ALIMENTOS FLOREA
"AGUILAR VIDAL, MIREIA",VP/P/2756/2017,,X,,,25515,TORRE DE CABDELLA,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,,,
"AGUILERA PUIG, JORDI",VP/P/3096/2019,,X,,,8459,SANT ANTONI DE VILAMAJOR,VALLÈS ORIENTAL,"PATATA, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, TOMÀQUET, MONGETA","HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,
"AIGE BADIA, MIQUEL",VP/P/3438/2020,,X,,,25121,ALFARRÀS,SEGRIÀ,"Altres productes elaborats, Olis, Conserves vegetals, sucs, melmelades, fruits secs torrats, ORDI, TRITICALE, OLIVES, PRESSECS, PERES, MELÓ, CARABASSA, HORTA, TOMÀQUET, KIWI, PÈSOLS","CEREALS, FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, PROTEAGINOSES",Venda directa,,,,EL SALT DEL COLOM VEDELLA ECOLOGICA
AIMSAT LTDA. 924 CAT.,VP/P/2189/2016,X,,F58460536,C/ Torrent d'en Cuyas 395,8340,VILASSAR DE MAR,MARESME,FLORS I ORNAMENTALS,"ALTRES PRODUCTES, NO ADMISSIBLES",Venda directa,,639790494,aimsat@corma.es,AMAFRUTA
"AITONA D'AGRICULTURA, SL",VP/P/3205/2019,X,,B67266114,Av Diagonal 177,8018,BARCELONA,BARCELONÈS,"OLIVES, AMETLLES, PRESSECS, NECTARINES, PERES, CIRERES","FRUITA DOLÇA, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,643178019,jchimenogomez@gmail.com,URPINA
