Municipi,Comarca,Capital,Provincia
Sunyer,Segrià,Lleida,Lleida
Torre-serona,Segrià,Lleida,Lleida
Torrebesses,Segrià,Lleida,Lleida
Torrefarrera,Segrià,Lleida,Lleida
Torres de Segre,Segrià,Lleida,Lleida
Vilanova de la Barca,Segrià,Lleida,Lleida
Vilanova de Segrià,Segrià,Lleida,Lleida
Alàs i Cerc,Alt Urgell,La Seu d'Urgell,Lleida
Arsèguel,Alt Urgell,La Seu d'Urgell,Lleida
Bassella,Alt Urgell,La Seu d'Urgell,Lleida
Cabó,Alt Urgell,La Seu d'Urgell,Lleida
Cava,Alt Urgell,La Seu d'Urgell,Lleida
Coll de Nargó,Alt Urgell,La Seu d'Urgell,Lleida
el Pont de Bar,Alt Urgell,La Seu d'Urgell,Lleida
Estamariu,Alt Urgell,La Seu d'Urgell,Lleida
Fígols i Alinyà,Alt Urgell,La Seu d'Urgell,Lleida
Josa i Tuixén,Alt Urgell,La Seu d'Urgell,Lleida
la Seu d'Urgell,Alt Urgell,La Seu d'Urgell,Lleida
la Vansa i Fórnols,Alt Urgell,La Seu d'Urgell,Lleida
les Valls d'Aguilar,Alt Urgell,La Seu d'Urgell,Lleida
les Valls de Valira,Alt Urgell,La Seu d'Urgell,Lleida
Montferrer i Castellbò,Alt Urgell,La Seu d'Urgell,Lleida
Oliana,Alt Urgell,La Seu d'Urgell,Lleida
Organyà,Alt Urgell,La Seu d'Urgell,Lleida
Peramola,Alt Urgell,La Seu d'Urgell,Lleida
Ribera d'Urgellet,Alt Urgell,La Seu d'Urgell,Lleida
Albinyana,Baix Penedès,El Vendrell,Tarragona
Banyeres del Penedès,Baix Penedès,El Vendrell,Tarragona
Bellvei,Baix Penedès,El Vendrell,Tarragona
Bonastre,Baix Penedès,El Vendrell,Tarragona
Calafell,Baix Penedès,El Vendrell,Tarragona
Cunit,Baix Penedès,El Vendrell,Tarragona
el Montmell,Baix Penedès,El Vendrell,Tarragona
el Vendrell,Baix Penedès,El Vendrell,Tarragona
l'Arboç,Baix Penedès,El Vendrell,Tarragona
la Bisbal del Penedès,Baix Penedès,El Vendrell,Tarragona
Llorenç del Penedès,Baix Penedès,El Vendrell,Tarragona
Masllorenç,Baix Penedès,El Vendrell,Tarragona
Sant Jaume dels Domenys,Baix Penedès,El Vendrell,Tarragona
Santa Oliva,Baix Penedès,El Vendrell,Tarragona
Albons,Baix Empordà,La Bisbal d'Empordà,Girona
Begur,Baix Empordà,La Bisbal d'Empordà,Girona
Bellcaire d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
Calonge i Sant Antoni,Baix Empordà,La Bisbal d'Empordà,Girona
Castell-Platja d'Aro,Baix Empordà,La Bisbal d'Empordà,Girona
Colomers,Baix Empordà,La Bisbal d'Empordà,Girona
Corçà,Baix Empordà,La Bisbal d'Empordà,Girona
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,La Bisbal d'Empordà,Girona
Foixà,Baix Empordà,La Bisbal d'Empordà,Girona
Fontanilles,Baix Empordà,La Bisbal d'Empordà,Girona
Forallac,Baix Empordà,La Bisbal d'Empordà,Girona
Garrigoles,Baix Empordà,La Bisbal d'Empordà,Girona
Gualta,Baix Empordà,La Bisbal d'Empordà,Girona
Jafre,Baix Empordà,La Bisbal d'Empordà,Girona
la Bisbal d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
la Pera,Baix Empordà,La Bisbal d'Empordà,Girona
la Tallada d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
Mont-ras,Baix Empordà,La Bisbal d'Empordà,Girona
Palafrugell,Baix Empordà,La Bisbal d'Empordà,Girona
Palamós,Baix Empordà,La Bisbal d'Empordà,Girona
Palau-sator,Baix Empordà,La Bisbal d'Empordà,Girona
Pals,Baix Empordà,La Bisbal d'Empordà,Girona
Parlavà,Baix Empordà,La Bisbal d'Empordà,Girona
Regencós,Baix Empordà,La Bisbal d'Empordà,Girona
Rupià,Baix Empordà,La Bisbal d'Empordà,Girona
Sant Feliu de Guíxols,Baix Empordà,La Bisbal d'Empordà,Girona
Santa Cristina d'Aro,Baix Empordà,La Bisbal d'Empordà,Girona
Serra de Daró,Baix Empordà,La Bisbal d'Empordà,Girona
Torrent,Baix Empordà,La Bisbal d'Empordà,Girona
Torroella de Montgrí,Baix Empordà,La Bisbal d'Empordà,Girona
Ullà,Baix Empordà,La Bisbal d'Empordà,Girona
Ullastret,Baix Empordà,La Bisbal d'Empordà,Girona
Ultramort,Baix Empordà,La Bisbal d'Empordà,Girona
Vall-llobrega,Baix Empordà,La Bisbal d'Empordà,Girona
Verges,Baix Empordà,La Bisbal d'Empordà,Girona
Vilopriu,Baix Empordà,La Bisbal d'Empordà,Girona
Alcanar,Montsià,Amposta,Tarragona
Amposta,Montsià,Amposta,Tarragona
Godall,Montsià,Amposta,Tarragona
la Galera,Montsià,Amposta,Tarragona
la Sénia,Montsià,Amposta,Tarragona
Mas de Barberans,Montsià,Amposta,Tarragona
Masdenverge,Montsià,Amposta,Tarragona
Sant Carles de la Ràpita,Montsià,Amposta,Tarragona
Sant Jaume d'Enveja,Montsià,Amposta,Tarragona
Santa Bàrbara,Montsià,Amposta,Tarragona
Ulldecona,Montsià,Amposta,Tarragona
Aldover,Baix Ebre,Tortosa,Tarragona
Alfara de Carles,Baix Ebre,Tortosa,Tarragona
Benifallet,Baix Ebre,Tortosa,Tarragona
Camarles,Baix Ebre,Tortosa,Tarragona
Deltebre,Baix Ebre,Tortosa,Tarragona
el Perelló,Baix Ebre,Tortosa,Tarragona
l'Aldea,Baix Ebre,Tortosa,Tarragona
l'Ametlla de Mar,Baix Ebre,Tortosa,Tarragona
l'Ampolla,Baix Ebre,Tortosa,Tarragona
Paüls,Baix Ebre,Tortosa,Tarragona
Roquetes,Baix Ebre,Tortosa,Tarragona
Tivenys,Baix Ebre,Tortosa,Tarragona
Tortosa,Baix Ebre,Tortosa,Tarragona
Xerta,Baix Ebre,Tortosa,Tarragona
Alella,Maresme,Mataró,Barcelona
Arenys de Mar,Maresme,Mataró,Barcelona
Arenys de Munt,Maresme,Mataró,Barcelona
Argentona,Maresme,Mataró,Barcelona
Cabrera de Mar,Maresme,Mataró,Barcelona
Cabrils,Maresme,Mataró,Barcelona
Caldes d'Estrac,Maresme,Mataró,Barcelona
Calella,Maresme,Mataró,Barcelona
Canet de Mar,Maresme,Mataró,Barcelona
Dosrius,Maresme,Mataró,Barcelona
el Masnou,Maresme,Mataró,Barcelona
Malgrat de Mar,Maresme,Mataró,Barcelona
Mataró,Maresme,Mataró,Barcelona
Montgat,Maresme,Mataró,Barcelona
Òrrius,Maresme,Mataró,Barcelona
Palafolls,Maresme,Mataró,Barcelona
Pineda de Mar,Maresme,Mataró,Barcelona
Premià de Dalt,Maresme,Mataró,Barcelona
Premià de Mar,Maresme,Mataró,Barcelona
Sant Andreu de Llavaneres,Maresme,Mataró,Barcelona
Sant Cebrià de Vallalta,Maresme,Mataró,Barcelona
Sant Iscle de Vallalta,Maresme,Mataró,Barcelona
Sant Pol de Mar,Maresme,Mataró,Barcelona
Sant Vicenç de Montalt,Maresme,Mataró,Barcelona
Santa Susanna,Maresme,Mataró,Barcelona
Teià,Maresme,Mataró,Barcelona
Tiana,Maresme,Mataró,Barcelona
Tordera,Maresme,Mataró,Barcelona
Vilassar de Dalt,Maresme,Mataró,Barcelona
Vilassar de Mar,Maresme,Mataró,Barcelona
Alforja,Baix Camp,Reus,Tarragona
Almoster,Baix Camp,Reus,Tarragona
Arbolí,Baix Camp,Reus,Tarragona
Botarell,Baix Camp,Reus,Tarragona
Cambrils,Baix Camp,Reus,Tarragona
Capafonts,Baix Camp,Reus,Tarragona
Castellvell del Camp,Baix Camp,Reus,Tarragona
Colldejou,Baix Camp,Reus,Tarragona
Duesaigües,Baix Camp,Reus,Tarragona
l'Albiol,Baix Camp,Reus,Tarragona
l'Aleixar,Baix Camp,Reus,Tarragona
l'Argentera,Baix Camp,Reus,Tarragona
la Febró,Baix Camp,Reus,Tarragona
la Selva del Camp,Baix Camp,Reus,Tarragona
les Borges del Camp,Baix Camp,Reus,Tarragona
Maspujols,Baix Camp,Reus,Tarragona
Mont-roig del Camp,Baix Camp,Reus,Tarragona
Montbrió del Camp,Baix Camp,Reus,Tarragona
Prades,Baix Camp,Reus,Tarragona
Pratdip,Baix Camp,Reus,Tarragona
Reus,Baix Camp,Reus,Tarragona
Riudecanyes,Baix Camp,Reus,Tarragona
Riudecols,Baix Camp,Reus,Tarragona
Riudoms,Baix Camp,Reus,Tarragona
Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Reus,Tarragona
Vilanova d'Escornalbou,Baix Camp,Reus,Tarragona
Vilaplana,Baix Camp,Reus,Tarragona
Vinyols i els Arcs,Baix Camp,Reus,Tarragona
Alins,Pallars Sobirà,Sort,Lleida
Alt Àneu,Pallars Sobirà,Sort,Lleida
Baix Pallars,Pallars Sobirà,Sort,Lleida
Espot,Pallars Sobirà,Sort,Lleida
Esterri d'Àneu,Pallars Sobirà,Sort,Lleida
Esterri de Cardós,Pallars Sobirà,Sort,Lleida
Farrera,Pallars Sobirà,Sort,Lleida
la Guingueta d'Àneu,Pallars Sobirà,Sort,Lleida
Lladorre,Pallars Sobirà,Sort,Lleida
Llavorsí,Pallars Sobirà,Sort,Lleida
Rialp,Pallars Sobirà,Sort,Lleida
Soriguera,Pallars Sobirà,Sort,Lleida
Sort,Pallars Sobirà,Sort,Lleida
Tírvia,Pallars Sobirà,Sort,Lleida
Vall de Cardós,Pallars Sobirà,Sort,Lleida
Alp,Cerdanya,Puigcerdà,Girona
Bellver de Cerdanya,Cerdanya,Puigcerdà,Girona
Bolvir,Cerdanya,Puigcerdà,Girona
Das,Cerdanya,Puigcerdà,Girona
Fontanals de Cerdanya,Cerdanya,Puigcerdà,Girona
Ger,Cerdanya,Puigcerdà,Girona
Guils de Cerdanya,Cerdanya,Puigcerdà,Girona
Isòvol,Cerdanya,Puigcerdà,Girona
Lles de Cerdanya,Cerdanya,Puigcerdà,Girona
Llívia,Cerdanya,Puigcerdà,Girona
Meranges,Cerdanya,Puigcerdà,Girona
Montellà i Martinet,Cerdanya,Puigcerdà,Girona
Prats i Sansor,Cerdanya,Puigcerdà,Girona
Prullans,Cerdanya,Puigcerdà,Girona
Puigcerdà,Cerdanya,Puigcerdà,Girona
Riu de Cerdanya,Cerdanya,Puigcerdà,Girona
Urús,Cerdanya,Puigcerdà,Girona
Alpens,Osona,Vic,Barcelona
Balenyà,Osona,Vic,Barcelona
Calldetenes,Osona,Vic,Barcelona
Centelles,Osona,Vic,Barcelona
el Brull,Osona,Vic,Barcelona
Espinelves,Osona,Vic,Barcelona
Folgueroles,Osona,Vic,Barcelona
Gurb,Osona,Vic,Barcelona
l'Esquirol,Osona,Vic,Barcelona
les Masies de Roda,Osona,Vic,Barcelona
les Masies de Voltregà,Osona,Vic,Barcelona
Lluçà,Osona,Vic,Barcelona
Malla,Osona,Vic,Barcelona
Manlleu,Osona,Vic,Barcelona
Montesquiu,Osona,Vic,Barcelona
Muntanyola,Osona,Vic,Barcelona
Olost,Osona,Vic,Barcelona
Orís,Osona,Vic,Barcelona
Oristà,Osona,Vic,Barcelona
Perafita,Osona,Vic,Barcelona
Prats de Lluçanès,Osona,Vic,Barcelona
Roda de Ter,Osona,Vic,Barcelona
Rupit i Pruit,Osona,Vic,Barcelona
Sant Agustí de Lluçanès,Osona,Vic,Barcelona
Sant Bartomeu del Grau,Osona,Vic,Barcelona
Sant Boi de Lluçanès,Osona,Vic,Barcelona
Sant Hipòlit de Voltregà,Osona,Vic,Barcelona
Sant Julià de Vilatorta,Osona,Vic,Barcelona
Sant Martí d'Albars,Osona,Vic,Barcelona
Sant Martí de Centelles,Osona,Vic,Barcelona
Sant Pere de Torelló,Osona,Vic,Barcelona
