PROJECTE,URGENT,PRODUCTE(S),MUNICIPI,COM COMPRAR,OBSERVACIONS,CCPAE,COMARCA
El Jardí dels Sentits,,Vins i caves Ecològics d'Agricultura regenerativa i biodinàmica.,Subirats,Per telèfon XXXXXXXXX Per mail xxxx@xxxxx.com Envio gratuit a partir de 12 botelles. In situ amb cita prèvia!,Collita pròpia i manual de tota la finca. Certificat ECO del CCPAE Som un projecte familiar i sostenible. http://www.vinosecologicos.org/eljardidelssentits/,Sí,Alt Penedès
El Molí D'en Vendrell,,Fruita i verdura ecològica,Santa Eulàlia de Ronçana,Podeu enviar watsap o e-mail i podeu passar a recollir a la finca de 17 a 20h dimecres i dijous. Dissabte de 10 a 14h i divendres de 9 a 14h al mercat setmanal de l'Ametlla del Vallès,Molídenvendrell.cat,Sí,Vallès Oriental
El Ramat,Sí,Corder ecològic,Pujalt,Caixa 1/4 corder variat (2-3 kg) Caixa 1/2 corder variat (4-6 kg) Preu 13 €/kg Pagament efectiu o transferència prèvia,"T'ho portem a casa dijous-divendres. Repartim Anoia, Bages, Segarra, Conca de Barberà, Urgell instagram elramateco",Sí,Anoia
El Rebost de Can Moragues,,Tenim produce agroecològic de varietats locals de productors de la zona que estan en custòdia amb la Fundació Emys.,Riudarenes,"El punt de recollida és a la botiga, de dijous a diumenge de 10h a 14h, es poden fer les comandes via e-mail a xxxx@xxxxx.org i via telèfon o Whatsapp al XXXXXXXXX ",Recomanem fer les comandes via Whatsapp i fer-les abans de dimecres per a poder fer previsió a l'hora de fer comanda a les nostres productores.,Sí,Selva
El Rebost del Pou Calent,,"Petit comerç de productes de proximitat i ecològics a granel (pasta, llegum sec i cuit, farines, fruits secs, galetes, formatges, iogurts, espècies, bolets deshidratats, arrossos, sucres, llavors, vins a granel, kombutxa a granel...) També tenim detergents a granel.",La Garriga,Horari dies de confinament de 9:30 a 13 h Es poden avançar les comandes per whatsapp i passar a recollir quan es confirmen.,"Tenim productes d'alguns dels productors anomenats al directori: Granja del Montseny, Tres Cadires, Caseus Afinadors, Detergents de la cooperativa A Granel, llavors de les Refardes, Mamafermenta, la Cleda,... elrebostdelpoucalent.cat (en breu)",,Vallès Oriental
"El Serradet de Barneres, SCCL",Sí,"Làctics frescos d'ovella de temporada. Mató, iogurt i formatge fresc.",L'Esquirol (Sant Martí Sescorts),Durant el confinament per Coronavirus: Mercat municipal de Manlleu Mengem Osona (Vic) Cooperatives de consum ecològic,"Normalment els nostres punts de venda habituals són els mercats setmanals dels pobles de les rodalies on fem parada pròpia: Manlleu, Vic, Torelló i Roda de Ter. Però han estat anul'lats fins a nova ordre arran del coronavirus. Instagram @elserradetdebarneres https://elserradetdebarneres.blogspot.com/",,Osona
El Soler de Preixana,,Porc ecològic Vedella ecològica Lots de 6 i 12 kg,Montmajor,"De moment, oferim servei a domicili o punts de trobada a Berga, Solsona i Manresa i a pobles propers.",Granja pròpia,Sí,Berguedà
El tros de l'Uri,,Verdura i fruita eco. Altres.,Malgrat de Mar i Blanes,Venda directa,,,Maresme
El Tros dOrdal SL,,"Verdura, fruita, ous, plantes aromàtiques, farines, llegums, melmelades, mel, bolets, sucs, germinats i fruits secs.",Subirats,"habitualment repartim dimarts a domicilis o punts de recollida. En temps de confinament estem canviant el nostre mètode per poder abastir a tothom i continuar mantenint la nostra salut mental i física. Per tant, ampliem els dies de repartiment de cistelles. En aquest cas, trucarem a tothom qui li quedi afectada la cistella per reorganitzar les rutes de repartiment. Les comandes es fan a través de la web. Cal registrar-se previament. Tenim una parada física al Mercat de la Carn de Vialfranca del Penedès. Horari: dimarts-divendres de 8:30h a 13:30h; dissabte de 8h a 14h. També obrim el magatzem els dimarts de 10h a 13:30h i de 17h a 19h.",www.eltrosdordal.com,Sí,Alt Penedès
El Xai de la Roser,,Carn de xai ecològica,Bages-Moianès,Venda directa a domicili a la catalunya central.,Comanda minima 1 /4 xai(3kg),Sí,Bages-Moianès
Els Corremarges,,Melmelades i salses amb fruits silvestres,Passanant i Belltall,"Distribuïm en petites botigues de la zona (Segarra, Conca de Barberà , Urgell, Anoia) i en fires i mercats sobretot a la primavera i l'estiu.",Www.elscorremarges.cat,,Conca de Barberà
Embotits Artesans J. Mallol,Sí,"Embotits artesans elaboracio propia Producte: curats: secallona/xistorra curada, llom /cap de llom, llonganissa/fuets/somaies,/xoriç sobressada, cansalada, llonganissa dolça botifarres dolces cuits: bull i botifarra blanc, negre, fetge, perol, cap, pate campanya Producte natural sense aditius ni conservants",Santa Mª de Palautordera,"Fer les comandes per tel al XXXXXXXXX o per WhatsApp, recollida a l´obrador o ho portem a domicili",,,Vallès Oriental
Embotits Pedragosa,Sí,"Llonganissa, fuet, xoriç, secallona, …. Productes curats de porc i gall dindi",Caldes de Montbui,"A través de la web o bé, trucant al telefòn, us ho enviem a casa",www.pedragosa.net,,Vallès Oriental
enric eco,Sí,"horta variada de temporada , maduixes tomaquets cols coliflors fruites",Sant Climent de Llobregat,trucan al XXXXXXXXX ,nomes treballem amb productes ecologics,Sí,Baix Llobregat
